item,GSVocabTerm
https://database.factgrid.de/entity/Q1746205,GSMonasteryLocation3786
https://database.factgrid.de/entity/Q1746224,GSMonasteryLocation6151
https://database.factgrid.de/entity/Q1746347,GSMonasteryLocation362
https://database.factgrid.de/entity/Q1746354,GSMonasteryLocation10030
https://database.factgrid.de/entity/Q1746355,GSMonasteryLocation10041
https://database.factgrid.de/entity/Q1746356,GSMonasteryLocation8305
https://database.factgrid.de/entity/Q1746357,GSMonasteryLocation11008
https://database.factgrid.de/entity/Q1746732,GSMonasteryLocation8789
https://database.factgrid.de/entity/Q1746744,GSMonasteryLocation8365
https://database.factgrid.de/entity/Q1746745,GSMonasteryLocation52
https://database.factgrid.de/entity/Q1746746,GSMonasteryLocation17214
https://database.factgrid.de/entity/Q1746746,GSMonasteryLocation17215
https://database.factgrid.de/entity/Q1746747,GSMonasteryLocation16525
https://database.factgrid.de/entity/Q1746748,GSMonasteryLocation932
https://database.factgrid.de/entity/Q1750622,GSMonasteryLocation13406
https://database.factgrid.de/entity/Q1750623,GSMonasteryLocation14773
https://database.factgrid.de/entity/Q1750624,GSMonasteryLocation2030
https://database.factgrid.de/entity/Q1750625,GSMonasteryLocation1165
https://database.factgrid.de/entity/Q1750626,GSMonasteryLocation368
https://database.factgrid.de/entity/Q1750627,GSMonasteryLocation17013
https://database.factgrid.de/entity/Q1750628,GSMonasteryLocation17014
https://database.factgrid.de/entity/Q1750629,GSMonasteryLocation186
https://database.factgrid.de/entity/Q1750630,GSMonasteryLocation8112
https://database.factgrid.de/entity/Q1750631,GSMonasteryLocation5380
https://database.factgrid.de/entity/Q1750632,GSMonasteryLocation786
https://database.factgrid.de/entity/Q1750633,GSMonasteryLocation442
https://database.factgrid.de/entity/Q1750634,GSMonasteryLocation6925
https://database.factgrid.de/entity/Q1750635,GSMonasteryLocation788
https://database.factgrid.de/entity/Q1750636,GSMonasteryLocation8445
